2 + 2 = 4 | 2025-07-17 12:10:02
sqrt(9) = 3.0 | 2025-07-17 12:10:08
6**2 = 36 | 2025-07-17 12:10:16
5 ** 9 = 1953125 | 2025-07-17 12:10:25
3 ** 2 = 9 | 2025-07-21 09:38:36
5 + 2 + 3 + 4 = 14 | 2025-07-21 09:41:50
25 / 5 = 5.0 | 2025-07-21 10:33:05
25 / 3 / 5 = 1.6666666666666667 | 2025-07-21 10:33:17
30 / 3 / 5 = 2.0 | 2025-07-21 10:33:23
25 / 5 = 5.0 | 2025-07-21 10:39:46
25 / 5 = 5.0 | 2025-07-21 10:40:02
sqrt(81) = 9.0 | 2025-07-21 10:41:01
sqrt(81) = 9.0 | 2025-07-21 10:41:19
sqrt(81) = 9.0 | 2025-07-21 10:41:22
sqrt(9) = 3.0 | 2025-07-21 10:41:50
5! = 120 | 2025-07-21 10:42:20
5! = 120 | 2025-07-21 10:42:22
5! = 120 | 2025-07-21 10:42:46
2 ** 4 = 16 | 2025-07-21 10:47:19
2 = 2 | 2025-07-21 11:46:19
2**2 = 4 | 2025-07-21 11:46:21
2 = 2 | 2025-07-21 11:46:28
2 = 2 | 2025-07-21 11:47:03
1 + 2 = 3 | 2025-07-22 09:10:11
1 + 2 = 3 | 2025-07-22 09:10:29
2 * 2 * 4 = 16 | 2025-07-22 09:10:57
6**2 = 36 | 2025-07-22 09:11:06
6**2 = 36 | 2025-07-22 09:11:09
sqrt(6) = 2.449489742783178 | 2025-07-22 09:11:14
sqrt(9) = 3.0 | 2025-07-22 09:11:23
3 * 4 * 5 * 7 = 420 | 2025-07-22 09:11:36
10 + 5 + 2 + 1 = 18 | 2025-07-22 09:11:46
2 ** 4 = 16 | 2025-07-22 09:16:15
2 * 3 - 2 = 4 | 2025-07-23 14:56:54
3 - 2 = 1 | 2025-07-23 14:57:40
5 / 2 = 2.5 | 2025-07-23 14:58:08
2 + 3 + 4 + 56 + 9 = 74 | 2025-07-24 18:02:37
0.1 + 0.2 = 0.30000000000000004 | 2025-07-27 14:02:24
0.1 + 0.3 = 0.4 | 2025-07-27 14:02:31
0.1 + 0.3 = 0.4 | 2025-07-27 14:07:56
0.1 + 0.2 = 0.30000000000000004 | 2025-07-27 14:07:57
0.1 + 0.2 = 0.3 | 2025-07-27 14:09:24
0.1 + 0.3 = 0.4 | 2025-07-27 14:09:35
0.1 + 0.323 = 0.423 | 2025-07-27 14:09:37
5 + 25 = 30 | 2025-07-27 14:09:49
2 + 3 + 4 + 5 + 6 + 9 + 5 = 34 | 2025-07-27 14:10:04
5 * 2 - 2 = 8 | 2025-07-27 14:10:24
2 - 2 = 0 | 2025-07-27 14:11:14
sqrt(9) = 3.0 | 2025-07-30 09:16:19
sqrt(81) = 9.0 | 2025-07-30 09:16:37
1 + 2 = 3 | 2025-07-30 09:27:23
5 + 3 = 8 | 2025-07-30 10:00:29
5 + 3 - 2 = 6 | 2025-07-30 10:00:46
5 + 3 - 2 = 6 | 2025-07-30 10:01:21
5 + 3 - 2 + 1 = 7 | 2025-07-30 10:01:37
19 - 3 - 2 = 14 | 2025-07-30 10:01:55
5! = 120 | 2025-07-30 10:02:10
sqrt(9) = 3.0 | 2025-07-30 10:02:20
sqrt(9) = 3.0 | 2025-07-30 10:02:34
5 / 2 = 2.5 | 2025-07-30 10:03:43
9 + 6 = 15 | 2026-03-09 15:57:49
10 * 8 = 80 | 2026-03-09 15:58:41
10 * 8 = 80 | 2026-03-09 15:59:11
6 + 18 = 24 | 2026-03-09 15:59:24
